user_id,1_per_0_place,1_per_1_place,1_per_2_place,1_per_3_place,2_per_0_place,2_per_1_place,2_per_2_place,2_per_3_place,3_per_0_place,3_per_1_place,3_per_2_place,3_per_3_place,4_per_0_place,4_per_1_place,4_per_2_place,4_per_3_place,5_per_0_place,5_per_1_place,5_per_2_place,5_per_3_place,6_per_0_place,6_per_1_place,6_per_2_place,6_per_3_place,1_per_0_score,1_per_1_score,1_per_2_score,1_per_3_score,2_per_0_score,2_per_1_score,2_per_2_score,2_per_3_score,3_per_0_score,3_per_1_score,3_per_2_score,3_per_3_score,4_per_0_score,4_per_1_score,4_per_2_score,4_per_3_score,5_per_0_score,5_per_1_score,5_per_2_score,5_per_3_score,6_per_0_score,6_per_1_score,6_per_2_score,6_per_3_score,game_id,team_id
10061,2,6,2,2,2,6,6,6,4,2,6,2,6,6,2,6,6,6,3,6,6,3,3,6,94,1,56,11,39,8,-18,-18,191,19,11,36,58,27,191,103,-69,16,22,158,39,29,36,4,192,1372
10062,6,2,6,5,5,5,3,3,6,4,5,5,6,5,6,5,2,5,6,5,4,5,6,5,55,57,-42,1,4,8,234,21,23,16,11,28,55,27,99,103,75,16,-20,158,60,21,14,4,244,1770
10063,6,2,6,6,6,5,2,3,6,1,2,6,6,5,6,5,2,5,6,5,4,1,6,5,50,44,-28,-20,-44,8,204,15,67,32,14,5,50,27,5,103,41,16,-7,158,65,39,20,4,237,1696
10064,5,6,6,5,5,2,6,5,6,5,3,5,3,2,5,2,6,2,6,2,2,5,6,2,59,11,-26,1,6,8,36,-14,75,14,11,29,70,27,106,103,-48,16,-8,158,71,16,25,4,209,1508
10065,5,6,6,6,6,6,6,6,6,1,3,5,6,6,5,6,6,6,6,6,5,1,6,6,91,6,-39,2,9,8,17,-25,50,20,12,23,62,27,137,103,-52,16,-14,158,55,33,21,4,247,1806
10066,5,6,6,3,3,2,6,6,6,3,2,5,6,2,5,2,6,2,6,2,6,4,6,2,64,12,-51,7,23,8,16,-25,12,19,13,26,43,27,133,103,-46,16,-21,158,50,25,22,4,183,1260
10067,4,2,6,1,1,3,4,4,6,3,5,1,6,3,1,3,3,3,6,3,6,3,4,3,102,33,-29,17,54,8,160,8,20,17,8,46,30,27,227,103,41,16,-23,158,52,26,25,4,205,1460
10068,3,1,5,1,1,4,1,1,5,4,2,1,4,4,1,4,1,4,5,4,3,2,2,4,100,62,5,23,66,8,327,45,146,20,15,52,84,27,256,103,88,16,0,158,93,39,37,4,214,1562
10069,3,1,1,2,2,6,1,1,1,1,2,5,4,6,2,6,1,6,1,6,5,2,3,6,63,32,46,5,15,8,221,24,183,32,15,22,60,27,120,103,57,16,18,158,58,50,27,4,234,1662
10070,5,2,4,6,6,2,3,3,4,4,2,3,2,2,5,2,2,2,3,2,4,4,5,2,82,38,24,1,3,8,189,14,170,16,12,36,95,27,134,103,44,16,8,158,67,26,27,4,248,1810
10071,3,2,3,1,1,4,6,6,1,1,5,1,4,4,1,4,6,4,1,4,6,1,1,4,103,29,40,23,64,8,94,-7,212,25,11,50,91,27,251,103,-34,16,17,158,62,44,39,4,241,1734
10072,6,4,3,6,6,4,4,2,2,1,1,5,5,4,6,4,4,4,2,4,5,1,3,4,53,40,40,0,2,8,249,37,206,14,13,25,97,27,93,103,50,16,22,158,82,40,33,4,215,1574
10073,3,5,4,1,1,6,3,3,3,4,1,1,3,6,1,6,3,6,5,6,4,4,2,6,104,17,26,16,52,8,95,1,184,19,16,44,97,27,232,103,-14,16,7,158,61,30,35,4,243,1758
10074,2,2,3,3,4,2,2,1,3,3,2,4,2,2,3,2,1,2,3,2,2,4,5,2,75,26,17,3,14,8,187,20,147,31,14,27,68,27,133,103,36,16,10,158,65,40,21,4,219,1592
10075,5,3,2,5,5,1,3,3,3,2,2,6,6,1,5,1,3,1,3,1,6,2,2,1,66,53,43,3,11,8,250,28,189,13,11,21,83,27,112,103,70,16,17,158,69,30,33,4,215,1572
10076,3,5,4,1,1,6,3,3,3,4,1,1,3,6,1,6,3,6,5,6,4,4,2,6,104,17,26,16,52,8,95,1,184,19,16,44,97,27,232,103,-14,16,7,158,61,30,35,4,243,1758
10077,6,3,6,5,5,3,2,2,5,4,5,5,5,3,6,3,2,3,5,3,2,2,6,3,61,24,15,-1,-2,8,184,20,131,20,11,30,64,27,99,103,39,16,7,158,63,38,25,4,245,1778
10078,5,5,2,4,4,2,6,5,2,3,3,6,3,2,5,2,4,2,2,2,5,5,4,2,67,15,41,3,13,8,35,-14,174,20,13,24,67,27,120,103,-46,16,20,158,52,28,26,4,245,1780
10079,4,2,1,3,3,3,2,2,1,4,2,5,2,3,3,3,2,3,1,3,1,1,2,3,64,32,35,2,10,8,144,2,186,19,15,21,89,27,112,103,2,16,13,158,73,35,30,4,249,1824
10080,4,2,2,3,3,6,3,3,2,5,6,5,6,6,3,6,3,6,2,6,6,6,3,6,78,32,56,8,32,8,156,12,194,20,11,31,58,27,160,103,21,16,26,158,61,30,34,4,264,1924
10081,3,6,5,1,1,4,5,4,5,3,2,1,2,4,1,4,5,4,5,4,2,5,3,4,97,4,17,23,64,8,26,-15,166,23,15,50,90,27,249,103,-54,16,2,158,61,30,34,4,191,1358
10082,6,5,3,5,5,4,5,5,4,3,2,6,5,4,6,4,5,4,3,4,6,2,5,4,53,19,38,3,13,8,41,-21,157,19,12,20,62,27,101,103,-38,16,15,158,49,32,23,4,247,1802
10083,4,1,3,6,6,5,3,5,4,5,4,4,3,5,6,5,3,5,3,5,2,3,5,5,81,32,22,1,7,8,138,-2,140,19,12,38,66,27,139,103,0,16,6,158,70,38,27,4,206,1476
10084,2,2,4,1,1,5,4,4,3,5,4,3,2,5,1,5,4,5,5,5,3,3,3,5,96,29,24,7,29,8,117,-1,155,19,13,31,76,27,176,103,-3,16,8,158,62,30,28,4,239,1712
10085,2,5,5,4,4,6,5,5,5,6,6,5,5,6,4,6,4,6,5,6,3,6,3,6,105,26,6,3,15,8,161,12,119,15,8,28,63,27,159,103,28,16,0,158,74,21,35,4,248,1812
10086,4,6,4,2,2,4,6,6,4,3,4,2,3,4,4,4,6,4,6,4,6,4,4,4,61,18,-20,2,8,8,51,-11,87,18,11,31,69,27,113,103,-39,16,-7,158,59,24,27,4,184,1274
10087,6,1,5,6,6,4,3,6,5,2,4,6,6,4,6,4,3,4,5,4,3,2,5,4,62,32,-14,-1,-4,8,95,-18,79,28,12,29,52,27,98,103,-25,16,-7,158,54,52,20,4,204,1448
10088,6,6,6,5,5,3,6,6,6,2,3,6,6,3,6,3,6,3,6,3,6,2,6,3,59,8,-65,2,10,8,26,-28,-15,24,12,22,51,27,105,103,-41,16,-30,158,57,30,5,4,248,1814
10089,6,6,6,5,5,3,6,6,6,2,3,6,6,3,6,3,6,3,6,3,6,2,6,3,59,8,-65,2,10,8,26,-28,-15,24,12,22,51,27,105,103,-41,16,-30,158,57,30,5,4,248,1814
10090,6,2,3,2,2,2,2,2,3,3,1,4,2,2,5,2,2,2,3,2,4,3,3,2,59,47,62,6,25,8,265,39,252,14,12,28,107,27,130,103,58,16,29,158,102,19,40,4,213,1546
10091,5,3,3,4,4,4,3,3,3,4,3,6,1,4,4,4,4,4,3,4,2,4,3,4,99,47,76,4,16,8,281,41,285,14,11,27,108,27,157,103,63,16,41,158,111,19,46,4,236,1686
10092,6,4,5,4,4,4,2,1,5,2,3,5,5,4,6,4,2,4,5,4,5,1,6,4,66,30,10,7,27,8,225,25,107,25,11,29,54,27,140,103,61,16,1,158,56,53,17,4,205,1464
10093,2,3,3,2,2,4,3,3,3,6,4,3,2,4,2,4,3,4,4,4,4,4,3,4,101,27,38,7,25,8,162,8,201,14,11,30,100,27,174,103,28,16,14,158,76,23,35,4,211,1538
10094,3,6,5,6,3,6,6,6,5,5,6,2,4,6,4,6,6,6,5,6,6,6,4,6,64,5,-23,1,6,8,-3,-27,70,14,11,33,62,27,115,103,-56,16,-8,158,57,18,25,4,244,1764
10095,6,1,6,6,6,3,2,2,6,3,2,3,5,3,6,3,2,3,6,3,2,3,6,3,66,38,-11,-1,-5,8,179,14,100,23,14,33,64,27,107,103,23,16,-4,158,68,36,28,4,264,1918
10096,1,1,6,2,2,2,1,1,5,3,3,2,4,2,1,2,1,2,6,2,3,3,1,2,105,52,4,6,24,8,259,19,158,12,9,31,105,27,175,103,61,16,-1,158,110,17,38,4,195,1400
10097,3,5,2,5,5,5,5,4,3,5,6,3,3,5,3,5,5,5,2,5,5,3,4,5,104,18,60,2,9,8,92,3,220,16,9,38,81,27,162,103,-11,16,25,158,53,29,38,4,183,1256
10098,4,2,2,2,2,3,1,1,1,5,5,2,2,3,2,3,1,3,3,3,2,3,1,3,97,28,31,9,35,8,162,7,197,16,10,37,105,27,188,103,27,16,8,158,69,31,37,4,243,1754
10099,1,3,2,2,2,1,3,3,2,5,4,2,2,1,2,1,4,1,2,1,1,6,2,1,106,28,59,30,76,8,140,1,254,16,9,56,105,27,277,103,-19,16,26,158,109,21,48,4,247,1798
10100,4,1,4,3,3,6,1,1,4,5,5,4,3,6,4,6,1,6,4,6,1,4,3,6,59,62,8,3,15,8,294,34,120,13,11,25,67,27,113,103,84,16,1,158,94,20,31,4,237,1698
10101,3,2,1,3,3,4,1,1,2,3,3,5,4,4,3,4,1,4,1,4,3,4,2,4,93,29,38,9,31,8,188,18,164,20,12,34,63,27,179,103,38,16,11,158,69,34,32,4,206,1474
10102,1,6,2,5,5,4,6,6,4,4,4,1,4,4,4,4,6,4,2,4,6,4,4,4,105,9,26,1,5,8,23,-20,157,13,9,36,84,27,156,103,-52,16,9,158,63,23,25,4,252,1854
10103,6,5,4,6,6,6,4,5,4,5,3,5,3,6,6,6,4,6,4,6,6,3,2,6,61,11,28,-5,-23,8,32,-16,168,19,13,23,76,27,69,103,-40,16,10,158,44,33,35,4,191,1360
10104,2,3,1,2,3,2,3,3,1,2,1,3,1,2,2,2,3,2,1,2,2,3,1,2,61,36,60,2,8,8,202,20,250,20,14,33,105,27,118,103,38,16,25,158,87,21,40,4,251,1832
10105,1,1,4,3,3,6,1,1,4,4,5,3,2,6,3,6,1,6,4,6,3,3,4,6,107,36,33,9,30,8,209,25,172,17,10,34,78,27,190,103,54,16,14,158,61,33,30,4,209,1514
10106,3,2,1,4,4,5,2,2,1,1,1,4,1,5,3,5,2,5,1,5,2,1,2,5,101,32,47,4,20,8,199,20,234,21,14,30,111,27,169,103,31,16,19,158,87,29,36,4,211,1536
10107,3,1,2,1,1,1,1,2,2,1,1,1,3,1,1,1,2,1,2,1,1,1,2,1,74,44,48,26,76,8,214,18,214,50,22,57,60,27,255,103,23,16,21,158,67,62,35,4,219,1598
10108,1,4,1,3,2,3,3,5,1,3,3,1,4,3,2,3,5,3,1,3,4,3,3,3,105,30,27,5,21,8,164,2,182,11,8,33,106,27,172,103,4,16,9,158,108,20,29,4,246,1784
10109,1,2,6,4,4,3,2,4,6,3,3,2,2,3,4,3,2,3,6,3,4,4,4,3,105,57,9,4,18,8,282,28,161,12,10,32,108,27,169,103,71,16,1,158,106,20,31,4,215,1570
10110,2,4,3,1,1,2,4,4,3,5,3,4,2,2,1,2,4,2,3,2,3,5,3,2,75,42,26,7,28,8,219,17,164,12,11,30,89,27,151,103,50,16,7,158,91,19,30,4,184,1276
10111,1,2,3,1,1,5,2,2,3,6,3,2,2,5,1,5,2,5,3,5,3,5,3,5,79,28,38,8,31,8,117,0,197,15,12,31,97,27,161,103,2,16,13,158,58,29,34,4,242,1736
10112,2,2,3,3,4,2,2,1,3,3,2,4,2,2,3,2,1,2,3,2,2,4,5,2,75,26,17,3,14,8,187,20,147,31,14,27,68,27,133,103,36,16,10,158,65,40,21,4,219,1592
10113,3,3,1,6,6,3,1,1,1,2,2,3,1,3,6,3,1,3,1,3,4,2,1,3,70,24,83,-3,-16,8,170,22,299,23,13,28,103,27,92,103,28,16,41,158,55,41,49,4,242,1742
10114,5,4,4,6,6,3,3,4,4,4,5,6,4,3,6,3,3,3,4,3,4,4,4,3,55,23,18,-5,-20,8,134,6,158,21,8,24,78,27,62,103,18,16,9,158,63,24,32,4,210,1530
10115,6,5,1,6,6,2,5,5,1,6,3,6,3,2,6,2,5,2,2,2,5,2,1,2,63,19,71,2,9,8,56,-10,269,14,12,21,98,27,107,103,-34,16,41,158,52,29,45,4,192,1364
10116,2,3,1,1,1,3,2,2,1,3,2,3,1,3,2,3,2,3,1,3,1,3,1,3,85,25,54,4,22,8,168,14,230,25,14,31,93,27,156,103,24,16,20,158,71,34,38,4,201,1424
10117,2,6,3,2,2,6,5,4,3,5,4,3,2,6,2,6,5,6,3,6,4,6,3,6,102,13,29,11,37,8,43,-8,170,15,12,35,84,27,197,103,-46,16,13,158,58,26,29,4,245,1774
10118,3,4,5,1,1,1,4,4,5,3,4,2,5,1,2,1,5,1,4,1,4,2,6,1,104,30,15,4,21,8,115,0,122,13,8,32,66,27,169,103,-3,16,4,158,67,21,24,4,235,1670
10119,3,1,2,1,1,1,1,2,2,1,1,1,3,1,1,1,2,1,2,1,1,1,2,1,74,44,48,26,76,8,214,18,214,50,22,57,60,27,255,103,23,16,21,158,67,62,35,4,219,1598
10120,4,4,4,5,5,3,5,4,5,6,4,2,4,3,4,3,5,3,4,3,6,5,4,3,62,12,1,1,5,8,20,-23,100,18,12,34,58,27,114,103,-56,16,1,158,49,38,22,4,219,1602
10121,2,3,1,1,1,3,2,2,1,3,2,3,1,3,2,3,2,3,1,3,1,3,1,3,85,25,54,4,22,8,168,14,230,25,14,31,93,27,156,103,24,16,20,158,71,34,38,4,201,1424
10122,1,3,4,1,1,1,3,3,4,4,4,1,5,1,1,1,3,1,4,1,3,4,4,1,106,42,46,16,51,8,250,26,215,8,8,43,105,27,224,103,54,16,17,158,110,18,39,4,213,1554
10123,5,2,6,2,5,1,6,6,6,2,1,5,6,1,5,1,6,1,6,1,5,2,2,1,72,31,0,5,16,8,123,-2,116,17,13,26,67,27,132,103,-2,16,-1,158,74,22,33,4,246,1788
10124,3,1,2,3,3,3,1,2,2,2,6,1,4,3,2,3,1,3,2,3,2,1,2,3,71,62,41,1,3,8,315,40,175,20,8,36,68,27,119,103,87,16,14,158,96,30,32,4,184,1278
10125,6,5,3,5,5,4,5,5,4,3,2,6,5,4,6,4,5,4,3,4,6,2,5,4,53,19,38,3,13,8,41,-21,157,19,12,20,62,27,101,103,-38,16,15,158,49,32,23,4,247,1802
